a,a,a,a
243_245386411,1539442800000000,1244394767,0
243_245386411,1566745200000000,1360125564,0
243_245386411,1569510000000000,589094312,0
243_245386411,1570978800000000,351297720,0
243_245386411,1539788400000000,736888459,0
243_245386411,1542639600000000,321795476,0
243_245386411,1568905200000000,1483522397,0
243_245386411,1574175600000000,599592065,0
243_245386411,1552575600000000,1590292218,0
243_245386411,1469804400000000,2100817420,0
243_245386411,1522508400000000,184690001,0
243_245386411,1420642800000000,977245867,0
243_245386411,1467990000000000,1332104174,0
243_245386411,1486911600000000,1562107210,0
243_245386411,1550847600000000,502863983,0
243_245386411,1531926000000000,1531506932,0
243_245386411,1563375600000000,568717494,0
243_245386411,1568473200000000,93560356,0
243_245386411,1531234800000000,1603213074,0
243_245386411,1568818800000000,1178953630,0
243_245386411,1555686000000000,697818620,0
243_245386411,1528383600000000,1155521880,0
243_245386411,1568559600000000,99253188,0
243_245386411,1571151600000000,700171836,0
243_245386411,1502463600000000,969440066,0
243_245386411,1539010800000000,1063124585,0
243_245386411,1573570800000000,1233049719,0
243_245386411,1561561200000000,589166341,0
243_245386411,1566572400000000,786722925,0
243_245386411,1524754800000000,287095360,0
243_245386411,1551193200000000,2135563436,0
243_245386411,1355410800000000,2032479363,0
243_245386411,1533394800000000,1244785938,0
243_245386411,1568905200000000,2004952636,0
243_245386411,1553958000000000,1045677229,0
243_245386411,1562425200000000,67883256,0
243_245386411,1514300400000000,1883144272,0
243_245386411,1556895600000000,759840275,0
243_245386411,1569164400000000,937936076,0
243_245386411,1565967600000000,476709123,0
243_245386411,1512226800000000,2026325575,0
243_245386411,1426431600000000,1653634548,0
243_245386411,1535641200000000,1855297340,0
243_245386411,1567782000000000,473655651,0
243_245386411,1568559600000000,556223230,0
243_245386411,1474988400000000,1425454633,0
243_245386411,1472742000000000,92962244,0
243_245386411,1372431600000000,1795568752,0
243_245386411,1559574000000000,501301044,0
243_245386411,1542812400000000,220588152,0
243_245386411,1528815600000000,605787935,0
243_245386411,1558969200000000,720242436,0
243_245386411,1509289200000000,885403615,0
243_245386411,1517842800000000,980326486,0
243_245386411,1504882800000000,2131191535,0
243_245386411,1492959600000000,2078887126,0
243_245386411,1553785200000000,1794666800,0
243_245386411,1452610800000000,155224151,0
243_245386411,1546614000000000,131837504,0
243_245386411,1511017200000000,1141492454,0
243_245386411,1444921200000000,57986233,0
243_245386411,1564585200000000,478124129,0
243_245386411,1539183600000000,535361000,0
243_245386411,1558796400000000,1950158148,0
243_245386411,1514473200000000,5557427,0
243_245386411,1572015600000000,1223820621,0
243_245386411,1569855600000000,1990828041,0
243_245386411,1567350000000000,1453347620,0
243_245386411,1508511600000000,714721945,0
243_245386411,1545404400000000,300859499,0
243_245386411,1562857200000000,757257137,0
243_245386411,1554044400000000,1207664329,0
243_245386411,1492182000000000,1812442475,0
243_245386411,1314630000000000,1111867240,0
243_245386411,1553612400000000,353355687,0
243_245386411,1413471600000000,1605741888,0
243_245386411,1558710000000000,2125081542,0
243_245386411,1494082800000000,1355533479,0
243_245386411,1517324400000000,1267981674,0
243_245386411,1572620400000000,1232424564,0
243_245386411,1546268400000000,2021466012,0
243_245386411,1539615600000000,2044792756,0
243_245386411,1555167600000000,2105339048,0
243_245386411,1568905200000000,1700344615,0
243_245386411,1550329200000000,1131577797,0
243_245386411,1356620400000000,162114152,0
243_245386411,1571756400000000,1128198660,0
243_245386411,1544626800000000,374740213,0
243_245386411,1570287600000000,202696101,0
243_245386411,1559660400000000,732918485,0
243_245386411,1542985200000000,1087989112,0
243_245386411,1477666800000000,903297131,0
243_245386411,1559228400000000,925976643,0
243_245386411,1365346800000000,22515625,0
243_245386411,1566226800000000,762376978,0
243_245386411,1568559600000000,71871969,0
243_245386411,1568127600000000,1595487029,0
243_245386411,1566658800000000,1277490082,0
243_245386411,1518793200000000,323653293,0
243_245386411,1554822000000000,586722754,0
243_245386411,1561734000000000,1715802200,0
243_245386411,1361804400000000,636536295,0
243_245386411,1567263600000000,1525320084,0
243_245386411,1386601200000000,121463477,0
243_245386411,1570719600000000,744541767,0
243_245386411,1412434800000000,476234749,0
243_245386411,1557154800000000,2050328083,0
243_245386411,1546527600000000,340097685,0
